Unnamed: 0,ProductNumber,BrandName,BrandTitle,URL,AverageRating,Review,PolarityNumber,Polarity
0,Product 3,No Brand,Car Wireless Bluetooth Receiver Adapter 35Mm Aux Audio Stereo Music Home Hands Free Car Kit Device,https://www.daraz.pk/products/car-wireless-bluetooth-receiver-adapter-35mm-aux-audio-stereo-music-home-hands-free-car-kit-device-i206846028-s1411554710.html?search=1,4.5,Nice Product Connection and Sound transmission is considerable and battery timing is efficient go for it thanks 👍,0.325,Positive
1,Product 3,No Brand,Car Wireless Bluetooth Receiver Adapter 35Mm Aux Audio Stereo Music Home Hands Free Car Kit Device,https://www.daraz.pk/products/car-wireless-bluetooth-receiver-adapter-35mm-aux-audio-stereo-music-home-hands-free-car-kit-device-i206846028-s1411554710.html?search=1,4.5,very good thing good seller bohat achi kam Kar Rahi h head phone bhi chal Raha h,0.8049999999999999,Positive
2,Product 3,No Brand,Car Wireless Bluetooth Receiver Adapter 35Mm Aux Audio Stereo Music Home Hands Free Car Kit Device,https://www.daraz.pk/products/car-wireless-bluetooth-receiver-adapter-35mm-aux-audio-stereo-music-home-hands-free-car-kit-device-i206846028-s1411554710.html?search=1,4.5,thanks a lot Follow my store for other quality products at reasonable price,0.09166666666666667,Positive
3,Product 3,No Brand,Car Wireless Bluetooth Receiver Adapter 35Mm Aux Audio Stereo Music Home Hands Free Car Kit Device,https://www.daraz.pk/products/car-wireless-bluetooth-receiver-adapter-35mm-aux-audio-stereo-music-home-hands-free-car-kit-device-i206846028-s1411554710.html?search=1,4.5,very nice product for the money working fine sound quality even better when I use aux on phone,0.5241666666666667,Positive
4,Product 3,No Brand,Car Wireless Bluetooth Receiver Adapter 35Mm Aux Audio Stereo Music Home Hands Free Car Kit Device,https://www.daraz.pk/products/car-wireless-bluetooth-receiver-adapter-35mm-aux-audio-stereo-music-home-hands-free-car-kit-device-i206846028-s1411554710.html?search=1,4.5,packing ws good delivery before expected time get all accessories charging cable aux pin and Bluetooth device sounds is good no issue in connectivity thanks seller and draz for this product,0.37499999999999994,Positive
5,Product 3,No Brand,Car Wireless Bluetooth Receiver Adapter 35Mm Aux Audio Stereo Music Home Hands Free Car Kit Device,https://www.daraz.pk/products/car-wireless-bluetooth-receiver-adapter-35mm-aux-audio-stereo-music-home-hands-free-car-kit-device-i206846028-s1411554710.html?search=1,4.5,thanks a lot for your feedback follow our store for more discounted products,0.35,Positive
6,Product 3,No Brand,Car Wireless Bluetooth Receiver Adapter 35Mm Aux Audio Stereo Music Home Hands Free Car Kit Device,https://www.daraz.pk/products/car-wireless-bluetooth-receiver-adapter-35mm-aux-audio-stereo-music-home-hands-free-car-kit-device-i206846028-s1411554710.html?search=1,4.5,I bought this Bluetooth device for my car  m really satisfied with quality of product seller was also good  this device works really well in my car  thank you daraz 👍,0.4666666666666666,Positive
7,Product 4,No Brand,Car Bluetooth Wireless Music Receiver & Adapter 35mm Aux Best - Quality (Black) - Car Wireless Bluetooth Receiver Adapter 35Mm Aux Audio Stereo Music Home Hands Free Car Kit Device,https://www.daraz.pk/products/car-bluetooth-wireless-music-receiver-adapter-35mm-aux-best-quality-black-car-wireless-bluetooth-receiver-adapter-35mm-aux-audio-stereo-music-home-hands-free-car-kit-device-i223223914-s1440403253.html?search=1,4.3,Its a good product by seller exact quality as said and works excellent in car or with speakers recommended to buy from this seller,0.65,Positive
8,Product 4,No Brand,Car Bluetooth Wireless Music Receiver & Adapter 35mm Aux Best - Quality (Black) - Car Wireless Bluetooth Receiver Adapter 35Mm Aux Audio Stereo Music Home Hands Free Car Kit Device,https://www.daraz.pk/products/car-bluetooth-wireless-music-receiver-adapter-35mm-aux-best-quality-black-car-wireless-bluetooth-receiver-adapter-35mm-aux-audio-stereo-music-home-hands-free-car-kit-device-i223223914-s1440403253.html?search=1,4.3,Best Quality,1.0,Positive
9,Product 4,No Brand,Car Bluetooth Wireless Music Receiver & Adapter 35mm Aux Best - Quality (Black) - Car Wireless Bluetooth Receiver Adapter 35Mm Aux Audio Stereo Music Home Hands Free Car Kit Device,https://www.daraz.pk/products/car-bluetooth-wireless-music-receiver-adapter-35mm-aux-best-quality-black-car-wireless-bluetooth-receiver-adapter-35mm-aux-audio-stereo-music-home-hands-free-car-kit-device-i223223914-s1440403253.html?search=1,4.3,low in quality but according to the price it is ok,0.25,Positive
10,Product 4,No Brand,Car Bluetooth Wireless Music Receiver & Adapter 35mm Aux Best - Quality (Black) - Car Wireless Bluetooth Receiver Adapter 35Mm Aux Audio Stereo Music Home Hands Free Car Kit Device,https://www.daraz.pk/products/car-bluetooth-wireless-music-receiver-adapter-35mm-aux-best-quality-black-car-wireless-bluetooth-receiver-adapter-35mm-aux-audio-stereo-music-home-hands-free-car-kit-device-i223223914-s1440403253.html?search=1,4.3,wrong product return my payment plz,-0.5,Negative
11,Product 4,No Brand,Car Bluetooth Wireless Music Receiver & Adapter 35mm Aux Best - Quality (Black) - Car Wireless Bluetooth Receiver Adapter 35Mm Aux Audio Stereo Music Home Hands Free Car Kit Device,https://www.daraz.pk/products/car-bluetooth-wireless-music-receiver-adapter-35mm-aux-best-quality-black-car-wireless-bluetooth-receiver-adapter-35mm-aux-audio-stereo-music-home-hands-free-car-kit-device-i223223914-s1440403253.html?search=1,4.3,kia wrong h is me btye ap,-0.5,Negative
